city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness
college,45.32664695,-75.83855656986515,Clouds,50.58,31,1027,9.22,75
hambantota,6.1249126,81.1242563,Clouds,75.52,100,1009,2.3,75
salvador,-12.9822499,-38.4812772,Clouds,78.53,83,1014,8.05,20
potsdam,52.4009309,13.0591397,Clouds,51.71,92,1013,9.44,100
margherita,27.2895321,95.6727142,Clear,62.73,87,1016,2.01,0
lisakovsk,52.545864,62.489201,Clouds,29.43,89,1027,15.05,100
wencheng,27.7904852,120.0870883,Clouds,67.32,92,1019,0.31,100
richards bay,-28.7707857,32.0577775,Rain,72.34,88,1015,11.03,29
bathsheba,13.2129361,-59.5227245,Clouds,81.0,83,1010,8.05,20
dieppe bay,17.415555,-62.8137206,Clouds,82.87,76,1013,6.91,20
nemuro,43.3301154,145.5829068,Clouds,52.72,77,1015,20.45,100
faya,17.9209323,19.0953202,Clear,73.08,26,1014,13.87,0
mayna,54.1140512,47.6264897,Clouds,34.95,92,1023,9.57,90
havoysund,70.9963105,24.6609576,Clouds,37.63,81,1006,14.18,11
winslow,35.0241984,-110.6973463,Clouds,55.58,54,1013,24.16,100
puerto penasco,31.3170867,-113.531819,Clouds,72.91,47,1013,15.43,16
salalah,17.0174945,54.1010923,Clear,75.27,41,1015,4.61,0
touros,-5.1998625,-35.4595051,Clouds,78.75,76,1012,14.56,75
arraial do cabo,-22.9662839,-42.024427,Clouds,75.09,73,1014,4.61,40
dawei,14.0797232,98.1990191,Clouds,72.66,82,1011,4.38,90
xichang,27.8983767,102.2627884,Clouds,50.61,89,1017,0.96,60
storforshei,66.4044787,14.5277523,Clouds,35.37,55,999,11.5,40
ulladulla,-35.3621503,150.4751713,Clear,61.32,64,1022,3.4,0
hirara,24.926431,125.2411151,Clouds,77.58,80,1017,13.2,66
borogontsy,62.670792,131.166061,Clouds,-8.61,98,1019,2.59,100
fortuna,40.597407,-124.156034,Clouds,57.02,67,1020,6.91,75
saryg-sep,51.492626,95.554681,Snow,27.01,96,1029,3.04,100
mashhad,36.2974945,59.6059232,Clear,33.94,86,1024,0.0,0
san patricio,27.9695325,-97.7731720386266,Clouds,82.72,57,1016,12.86,93
halalo,-13.3447142,-176.2136238,Rain,81.95,77,1012,14.34,71
matagami,49.7575884,-77.6300251,Mist,32.09,100,1018,12.66,100
saint-francois,47.0018865,-70.8129222,Clouds,40.62,56,1030,4.61,99
caravelas,-17.7296514,-39.2660082,Clouds,73.99,84,1014,6.11,95
samusu,-13.9974088,-171.4288872,Rain,81.88,79,1013,14.36,68
victoria,48.4283182,-123.3649533,Clouds,43.03,67,1020,6.91,20
nouadhibou,20.9127045,-17.0503094,Clear,67.93,88,1015,11.5,0
general cepeda,25.3790941,-101.476111,Clear,77.11,35,1014,10.45,0
iracoubo,5.4794424,-53.2057374,Clouds,78.22,87,1011,8.9,100
guarumal,8.3543049,-82.5308149,Rain,78.91,83,1010,5.75,20
shakiso,5.7746802,38.9028468,Clouds,56.5,97,1017,3.47,92
svetlaya,52.4482319,39.9390827,Clouds,42.1,91,1025,8.43,96
pucallpa,-8.3820737,-74.5387507,Clouds,93.18,49,1006,11.5,40
kavieng,-2.573474,150.795224,Clouds,83.23,72,1009,3.2,91
coihaique,-45.5711804,-72.0684863,Clouds,61.05,48,1009,9.22,75
kaputa,-8.4733222,29.6638018,Clouds,68.4,83,1013,3.65,100
